iter	Passed	Remaining
0	50	50383
1	54	26999
2	56	18934
3	59	14922
4	62	12517
5	65	10909
6	68	9746
7	71	8881
8	74	8213
9	77	7672
10	80	7230
11	83	6858
12	86	6539
13	89	6272
14	91	6041
15	94	5834
16	97	5652
17	100	5489
18	103	5342
19	106	5209
20	109	5092
21	112	4984
22	115	4885
23	117	4793
24	120	4708
25	123	4630
26	127	4598
27	130	4530
28	133	4465
29	136	4403
30	139	4346
31	142	4296
32	144	4248
33	147	4200
34	150	4156
35	153	4115
36	156	4074
37	159	4035
38	162	3999
39	165	3964
40	168	3931
41	171	3901
42	173	3869
43	176	3839
44	179	3812
45	182	3783
46	185	3757
47	188	3731
48	191	3708
49	194	3686
50	197	3682
51	200	3664
52	203	3643
53	207	3631
54	210	3611
55	213	3590
56	215	3572
57	218	3554
58	221	3536
59	224	3517
60	227	3501
61	230	3485
62	233	3469
63	236	3452
64	239	3438
65	241	3424
66	244	3410
67	247	3395
68	250	3381
69	253	3367
70	256	3352
71	259	3338
72	261	3325
73	264	3312
74	267	3300
75	270	3288
76	273	3276
77	276	3264
78	278	3252
79	281	3240
80	284	3229
81	288	3226
82	291	3216
83	293	3205
84	296	3194
85	299	3185
86	302	3175
87	305	3166
88	308	3156
89	311	3147
90	314	3137
91	317	3129
92	319	3120
93	322	3110
94	325	3102
95	328	3093
96	331	3084
97	334	3076
98	337	3067
99	339	3058
100	343	3059
101	346	3053
102	349	3045
103	352	3036
104	355	3028
105	358	3020
106	361	3013
107	363	3005
108	366	2998
109	369	2990
110	372	2983
111	375	2975
112	378	2969
113	381	2962
114	383	2955
115	386	2948
116	389	2940
117	392	2932
118	396	2934
119	399	2928
120	402	2921
121	405	2915
122	408	2912
123	411	2905
124	414	2898
125	416	2892
126	419	2886
127	422	2880
128	425	2874
129	429	2875
130	435	2891
131	440	2897
132	443	2890
133	446	2884
134	449	2877
135	452	2871
136	454	2865
137	457	2859
138	460	2853
139	463	2848
140	466	2841
141	469	2835
142	472	2829
143	475	2823
144	477	2818
145	480	2811
146	483	2806
147	486	2800
148	489	2795
149	492	2789
150	495	2783
151	498	2778
152	500	2772
153	503	2767
154	506	2762
155	509	2756
156	512	2751
157	515	2745
158	518	2740
159	521	2735
160	523	2730
161	526	2724
162	529	2719
163	532	2713
164	535	2708
165	538	2703
166	541	2699
167	543	2693
168	546	2688
169	549	2683
170	552	2680
171	555	2675
172	558	2670
173	561	2665
174	564	2660
175	567	2655
176	569	2650
177	572	2645
178	575	2640
179	578	2635
180	581	2630
181	584	2625
182	587	2622
183	591	2621
184	594	2618
185	597	2613
186	600	2610
187	603	2606
188	606	2601
189	609	2596
190	612	2595
191	615	2589
192	618	2585
193	621	2580
194	623	2575
195	626	2571
196	629	2566
197	632	2562
198	635	2557
199	638	2553
200	641	2548
201	643	2544
202	646	2539
203	651	2543
204	654	2539
205	657	2534
206	660	2529
207	663	2524
208	665	2520
209	668	2515
210	671	2511
211	674	2506
212	677	2501
213	679	2497
214	682	2492
215	685	2487
216	688	2483
217	690	2478
218	693	2474
219	696	2469
220	699	2465
221	702	2460
222	705	2456
223	707	2452
224	710	2447
225	713	2443
226	716	2439
227	719	2434
228	721	2430
229	725	2427
230	727	2423
231	730	2419
232	733	2415
233	736	2411
234	739	2406
235	742	2402
236	745	2398
237	747	2394
238	750	2390
239	753	2385
